GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCClient.ClientListener,11,20,2,0,4,5,1,2,0,2
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCServer.XCLConnectionListener,11,25,2,0,4,8,1,2,0,2
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCServer,111,264,3,7,21,60,8,13,5,11
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCClient,27,125,1,3,10,30,6,7,5,6
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCServer.ServerInvocationHandler,6,33,3,3,0,8,3,3,0,3
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCClient.new AbstractMethodWriterInvocationHandler() {...},6,28,3,3,0,5,3,3,0,3
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeIntObjMap,450,257,63,21,110,63,55,23,15,21
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,AddressLongConverter,0,10,0,0,0,4,0,3,0,3
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeIntObjMap.Support,3,0,0,0,1,0,1,0,1,0
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongU32Writer,0,18,0,0,0,5,0,3,0,3
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,IntObjMap,43,16,3,1,10,5,5,2,3,2
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongLongMap,32,20,3,1,9,5,5,3,3,3
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,DtoParselet,39,89,0,0,5,24,1,6,1,6
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongLongMap.Support,3,0,0,0,1,0,1,0,1,0
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongDoubleMap,610,0,68,0,134,0,61,0,27,0
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongObjMap,544,315,79,27,128,82,59,32,12,26
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,VanillaDtoRegistry,55,215,6,10,8,44,6,13,0,11
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KeyPair,0,94,0,2,0,21,0,5,0,4
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,VanillaPublicKeyRegistry,25,22,4,0,6,6,4,3,2,3
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,OffsetIntConverter,7,9,0,0,2,3,1,2,1,2
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongObjMap.Support,3,0,0,0,1,0,1,0,1,0
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,DtoRegistry,8,5,0,0,1,1,1,1,1,1
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongDoubleMap.Support,3,0,0,0,1,0,1,0,1,0
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,DecentredUtil,0,33,0,0,0,10,0,6,0,6
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongObjMap,37,13,2,0,9,4,4,2,3,2
OpenHFT/Chronicle-Decentred,net.openhft.chronicle.decentred.util,VanillaDtoParser,73,100,3,3,5,27,3,5,0,5
