GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCClient.ClientListener,11,20,2,0,4,5,1,2,0,2
Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCServer.XCLConnectionListener,11,25,2,0,4,8,1,2,0,2
Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCServer,111,250,3,7,21,58,8,12,5,10
Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCClient,27,125,1,3,10,30,6,7,5,6
Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCServer.ServerInvocationHandler,6,33,3,3,0,8,3,3,0,3
Chronicle-Decentred,net.openhft.chronicle.decentred.remote.rpc,RPCClient.new AbstractMethodWriterInvocationHandler() {...},6,28,3,3,0,5,3,3,0,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeIntObjMap,450,257,63,21,110,63,55,23,15,21
Chronicle-Decentred,net.openhft.chronicle.decentred.util,AddressLongConverter,0,10,0,0,0,4,0,3,0,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeIntObjMap.Support,3,0,0,0,1,0,1,0,1,0
Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongU32Writer,0,18,0,0,0,5,0,3,0,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,IntObjMap,43,16,3,1,10,5,5,2,3,2
Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongLongMap,32,20,3,1,9,5,5,3,3,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,DtoParselet,39,76,0,0,5,20,1,4,1,4
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongLongMap.Support,3,0,0,0,1,0,1,0,1,0
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongDoubleMap,610,0,68,0,134,0,61,0,27,0
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongObjMap,544,315,79,27,128,82,59,32,12,26
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KeyPair,16,68,0,2,3,17,1,3,1,2
Chronicle-Decentred,net.openhft.chronicle.decentred.util,VanillaPublicKeyRegistry,25,22,4,0,6,6,4,3,2,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,OffsetIntConverter,13,3,0,0,4,1,2,1,2,1
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongObjMap.Support,3,0,0,0,1,0,1,0,1,0
Chronicle-Decentred,net.openhft.chronicle.decentred.util,DtoRegistry,51,197,5,9,7,39,6,13,1,11
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongDoubleMap.Support,3,0,0,0,1,0,1,0,1,0
Chronicle-Decentred,net.openhft.chronicle.decentred.util,DecentredUtil,30,226,1,13,3,47,1,20,0,13
Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongObjMap,37,13,2,0,9,4,4,2,3,2
Chronicle-Decentred,net.openhft.chronicle.decentred.util,VanillaDtoParser,80,47,3,1,11,13,3,3,1,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,LetterBase32,25,148,1,9,5,34,2,7,1,3
Chronicle-Decentred,net.openhft.chronicle.decentred.util,SmallIntObjMap,161,0,18,0,35,0,17,0,8,0
Chronicle-Decentred,net.openhft.chronicle.decentred.util,KolobokeLongLongMap,330,294,45,29,76,69,43,29,13,22
Chronicle-Decentred,net.openhft.chronicle.decentred.util,LongDoubleMap,8,0,0,0,2,0,2,0,2,0
Chronicle-Decentred,net.openhft.chronicle.decentred.api,AccountManagementResponses,13,0,0,0,2,0,1,0,1,0
Chronicle-Decentred,net.openhft.chronicle.decentred.api,MessageRouter,0,4,0,0,0,1,0,1,0,1
Chronicle-Decentred,net.openhft.chronicle.decentred.api,BlockchainPhase,0,34,0,0,0,2,0,1,0,1
Chronicle-Decentred,net.openhft.chronicle.decentred.api,ConnectionStatusListener,26,0,0,0,4,0,2,0,2,0
Chronicle-Decentred,net.openhft.chronicle.decentred.api,SystemMessageListener,13,0,0,0,2,0,1,0,1,0
Chronicle-Decentred,net.openhft.chronicle.decentred.dto,CreateChainRequest,16,3,0,0,6,1,4,1,4,1
